"","close.date","exit.reason"
"1",2011-07-15,"Expiration"
"2",2012-03-15,"Profit target"
"3",2012-03-16,"Expiration"
"4",2012-03-16,"Profit target"
"5",2012-03-16,"Expiration"
"6",2012-04-20,"Expiration"
"7",2012-04-20,"Expiration"
"8",2012-04-17,"Profit target"
"9",2012-04-20,"Expiration"
"10",2012-05-18,"Expiration"
"11",2012-06-15,"Expiration"
"12",2012-07-20,"Expiration"
"13",2012-07-19,"Profit target"
"14",2012-07-20,"Profit target"
"15",2012-08-17,"Expiration"
"16",2012-09-21,"Expiration"
"17",2012-09-21,"Expiration"
"18",2012-09-21,"Expiration"
"19",2012-09-21,"Expiration"
"20",2012-09-21,"Expiration"
"21",2012-10-19,"Profit target"
"22",2012-10-19,"Profit target"
"23",2012-10-19,"Expiration"
"24",2012-10-19,"Expiration"
"25",2012-12-21,"Expiration"
"26",2012-12-21,"Expiration"
"27",2012-12-21,"Expiration"
"28",2012-12-21,"Expiration"
"29",2012-12-17,"Profit target"
"30",2013-01-18,"Expiration"
"31",2013-01-18,"Expiration"
"32",2013-01-18,"Expiration"
"33",2013-03-14,"Profit target"
"34",2013-03-15,"Profit target"
"35",2013-03-15,"Expiration"
"36",2013-04-12,"Profit target"
"37",2013-04-16,"Profit target"
"38",2013-04-18,"Profit target"
"39",2013-06-06,"Profit target"
"40",2013-06-04,"Profit target"
"41",2013-06-14,"Profit target"
"42",2013-06-20,"Profit target"
"43",2013-07-05,"Expiration"
"44",2013-07-19,"Expiration"
"45",2013-08-30,"Expiration"
"46",2013-09-06,"Expiration"
"47",2013-09-06,"Profit target"
"48",2013-09-20,"Expiration"
"49",2013-09-27,"Expiration"
"50",2013-10-04,"Expiration"
"51",2013-10-04,"Expiration"
"52",2013-10-18,"Expiration"
"53",2013-10-10,"Profit target"
"54",2013-12-06,"Expiration"
"55",2013-12-06,"Expiration"
"56",2013-12-20,"Expiration"
"57",2014-01-03,"Expiration"
"58",2014-03-25,"Profit target"
"59",2014-04-17,"Expiration"
"60",2014-06-13,"Expiration"
"61",2014-06-20,"Expiration"
"62",2014-07-03,"Expiration"
"63",2014-07-18,"Expiration"
"64",2014-09-05,"Expiration"
"65",2014-09-12,"Expiration"
"66",2014-09-19,"Profit target"
"67",2014-09-26,"Expiration"
"68",2014-11-28,"Expiration"
"69",2014-12-26,"Expiration"
"70",2015-03-16,"Profit target"
"71",2015-04-09,"Profit target"
"72",2015-04-17,"Profit target"
"73",2015-05-27,"Profit target"
"74",2015-06-04,"Profit target"
"75",2015-06-10,"Profit target"
"76",2015-07-10,"Expiration"
"77",2015-07-17,"Expiration"
"78",2015-08-31,"Profit target"
"79",2015-09-10,"Profit target"
"80",2015-10-30,"Expiration"
