"","close.date","exit.reason"
"1",2011-08-01,"Profit target"
"2",2011-08-08,"Loss limit"
"3",2011-10-05,"Profit target"
"4",2011-10-19,"Profit target"
"5",2011-11-11,"Profit target"
"6",2011-12-20,"Profit target"
"7",2012-02-21,"Profit target"
"8",2012-03-13,"Profit target"
"9",2012-05-14,"Profit target"
"10",2012-06-04,"Profit target"
"11",2012-06-13,"Profit target"
"12",2012-07-27,"Profit target"
"13",2012-08-10,"Profit target"
"14",2012-10-26,"Profit target"
"15",2012-11-19,"Profit target"
"16",2012-12-26,"Profit target"
"17",2013-01-23,"Profit target"
"18",2013-02-15,"Profit target"
"19",2013-03-14,"Profit target"
"20",2013-04-26,"Profit target"
"21",2013-05-24,"Profit target"
"22",2013-06-24,"Profit target"
"23",2013-07-29,"Profit target"
"24",2013-09-03,"Profit target"
"25",2013-11-07,"Profit target"
"26",2013-11-20,"Profit target"
"27",2013-12-23,"Profit target"
"28",2014-01-22,"Profit target"
"29",2014-02-13,"Profit target"
"30",2014-03-20,"Profit target"
"31",2014-05-02,"Profit target"
"32",2014-05-20,"Profit target"
"33",2014-07-08,"Profit target"
"34",2014-07-25,"Profit target"
"35",2014-09-09,"Profit target"
"36",2014-10-27,"Profit target"
"37",2014-12-05,"Profit target"
"38",2014-12-29,"Profit target"
"39",2015-02-17,"Profit target"
"40",2015-03-20,"Profit target"
"41",2015-04-24,"Loss limit"
"42",2015-06-16,"Profit target"
"43",2015-07-24,"Loss limit"
"44",2015-08-24,"Loss limit"
"45",2015-09-15,"Profit target"
"46",2015-10-23,"Profit target"
